region,city,date,organizer,topic,participants_registered,participants_actual
Berlin,Berlin,2022-02-19,,"""Solidaritätskundgebung mit der Palästinensischen Bevölkerung in SehekJarh in Jerusalem""",50.0,55.0
Berlin,Berlin,2022-02-19,,"""Love&Peace - Tour 2022""",15.0,6.0
Berlin,Berlin,2022-02-19,,"""Gedenktag zum Anschlag in Hanau""",50.0,30.0
Berlin,Berlin,2022-02-19,,"""Lichtprojektion anlässlich des Gedenktags an den Anschlag in Hanau vor zwei Jahren""",5.0,40.0
Berlin,Berlin,2022-02-19,,"""2 Jahre Hanau""",1000.0,7800.0
Berlin,Berlin,2022-02-19,,"""Love&Peace - Tour 2022""",15.0,6.0
Berlin,Berlin,2022-02-20,,"""Kirchlicher Dialog „Open Air“: In einer Zeit der gesellschaftlichen Spaltung und der existenziellen Krise vieler Menschen ein Zeichen setzen und Brücken bauen durch Reden, Dialog, Gesang und Lebensimpressionen.""",25.0,20.0
Berlin,Berlin,2022-02-20,,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10.0,3.0
Berlin,Berlin,2022-02-20,,"""Menschenrechtsverletzungen und Hinrichtungen im Iran stoppen.""",5.0,5.0
Berlin,Berlin,2022-02-20,,"""Queerness, LGBTQIA+ Rechte""",4.0,
Berlin,Berlin,2022-02-20,,"""Queerness, LGBTQIA+ Rechte""",4.0,
Berlin,Berlin,2022-02-20,,"""Kundgebung: Was ist Gerechtigkeit?""",30.0,
Berlin,Berlin,2022-02-20,,"""Die Zukunft der Kinder liegt uns am Herzen""",200.0,85.0
Berlin,Berlin,2022-02-20,,"""Freiheit für politische Gefangene - Stop Gewalt starte Untersuchung""",4.0,3.0
Berlin,Berlin,2022-02-20,,"""Unterstützung der friedlichen, algerischen Revolution"" (vom 09.01. bis 10.07.2022 - jeweils So.)",10.0,
Berlin,Berlin,2022-02-20,,"""Schau nicht weg! Solidarität mit allen Opfern rassistischer Gewalt! Solidarität mit Dilan!""",200.0,1000.0
Berlin,Berlin,2022-02-20,,"""Kein Krieg gegen den Donbass und gegen Russland! Schluss mit der Dämonisierung Russlands!""",30.0,15.0
Berlin,Berlin,2022-02-20,,"""Proteststunde gegen den Aufenthalt des myanmarischen Brigadegenerals Aung Kyaw Moe in Deutschland""",20.0,28.0
Berlin,Berlin,2022-02-21,,"""Die Bürger*innen-Initiative ""Deutsche Wohnen & Co. enteignen"" demonstriert während des Treffens des ""Berliner Bündnis für Bauen und Wohnen"" der Landesregierung""",150.0,60.0
Berlin,Berlin,2022-02-21,,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10.0,2.0
Berlin,Berlin,2022-02-21,,"""Klima-Mahnwache""",5.0,
Berlin,Berlin,2022-02-21,,"""Mahnwache für Frieden und Menschenrechte"" (vom 03.01. bis 28.03.2022 - jeweils Mo.)",10.0,4.0
Berlin,Berlin,2022-02-21,,"""Freiheit ist manchmal auch Einsicht in die Notwendigkeit, deshalb solidarisch durch die Krise. Für die kritische Vernunft und die Demokratie, mit Abstand gegen Rechts, Antisemiten und Verschwörungsprediger! Kurzfassung: Nu is jleich zappendusta!"" (vom 10.01. bis 28.03.2022 - jeweils Mo.)",200.0,35.0
Berlin,Berlin,2022-02-21,,"""""Einigkeit und Recht und Freiheit"" umfasst das Plädoyer für eine freie, informierte Impfentscheidung und die vollumfängliche Achtung, Würdigung und Einhaltung der Grund- und Menschenrechte für jeden Menschen, unabhängig vom politisch und medial zugewiesenen Status."" (vom 31.01. bis 28.02.2022 - jeweils Mo.)",200.0,140.0
Berlin,Berlin,2022-02-21,,"""Hoffnung tut der Seele gut - Gemeinsam durch die Pandemie""",30.0,40.0
Berlin,Berlin,2022-02-21,,"""Gegenaktion zu den ""Spaziergängen"" am Antonplatz"" (vom 14.02. bis 07.03.2022 - jeweils Mo.)",20.0,15.0
Berlin,Berlin,2022-02-21,,"""Protestkundgebung gegen Coronaleugner"" (vom 07.02. bis 28.02.2022 - jeweils Mo.)",30.0,8.0
Berlin,Berlin,2022-02-21,,„Lauf Demo mit Freien Geistern 4G…“,1000.0,350.0
Berlin,Berlin,2022-02-21,,"""Solidarisch durch die Pandemie in Schöneberg""",25.0,5.0
Berlin,Berlin,2022-02-21,,"""- Keine Impfpflicht im Gesundheitswesen! - Für einen offeneren Dialog über Sinn und Nutzen der Maßnahmen zur Eindämmung des Corona Virus. - Schutzraum für friedliche Proteste, gegen Angriffe von Extremisten von Links und Unterwanderung von Extremisten von Rechts.""",50.0,
Berlin,Berlin,2022-02-21,,"""Kundgebung gegen die Verleumdung der Corona Pandemie und die Verdrehung von Fakten, besonders bei dem Thema der Coronaimpfung.""",20.0,15.0
Berlin,Berlin,2022-02-21,,"""Gemeinsam für mehr Freiheit, Selbstbestimmung, ein respektvolles Miteinander für Grundrechte""",400.0,380.0
Berlin,Berlin,2022-02-21,,"""Protest gegen Hartz 4 und das Bürgergeld - Montag ist der Tag des Widerstands"" (vom 03.01. bis 20.12.2022 - jeweils Mo.)",30.0,
Berlin,Berlin,2022-02-21,,"""Solidarität in der Pandemie - Wir wollen zeigen, dass die ""Spaziergänger"" im Bezirk nicht die Mehrheit darstellen.""",50.0,9.0
Berlin,Berlin,2022-02-21,,"""Mahnwache am Kanzleramt - Für die sofortige Stilllegung aller Atomanlagen"" (vom 10.01.2022 - 27.06.2022 - jeweils Mo.)",20.0,2.0
Berlin,Berlin,2022-02-21,,"""Gemeinsinn leben. Demokratische Werte schützen."" (vom 10.01. bis 07.03.2022 - jeweils Mo.)",100.0,50.0
Berlin,Berlin,2022-02-21,,"""Lichterkette für Solidarität in der Pandemie""",50.0,15.0
Berlin,Berlin,2022-02-21,,"""Antikriegsmahnwache"" (vom 31.01. bis 28.03.2022 - jeweils Mo.)",10.0,
Berlin,Berlin,2022-02-21,,"""""Wie umgehen mit Corona? - Bürgerbündnis für Solidarität und gegen rechte Unterwanderung"""" (vom 14.02. bis 04.04.2022 - jeweils Mo.)",300.0,
Berlin,Berlin,2022-02-21,,"""Demokratische Menschenrechte"" (vom 03.01. bis 04.04.2022 - jeweils Mo.)",400.0,650.0
Berlin,Berlin,2022-02-21,,"nicht angemeldete coronakritische Versammlung ""Lichtenrade""",25.0,25.0
Berlin,Berlin,2022-02-21,,"""Querdenkende , Rechte und Verschwörungsideologische Aufmärsche stoppen ! Gerade statt Querdenken ! GEMEINSAM FÜR EINEN SOLIDARISCHEN KIEZ !""",50.0,20.0
Berlin,Berlin,2022-02-21,,"""Geradedenken gegen Querdenken und Rechts""",70.0,40.0
Berlin,Berlin,2022-02-21,,"""Friedlicher Lampion- und Lichterumzug vom Brandenburger Tor zum Berliner Dom für eine freie Impfentscheidung (14. Montagsdemonstration, Aufbruch21.com)"" (vom 31.01. bis 28.02.2022 - jeweils Mo.)",250.0,100.0
Berlin,Berlin,2022-02-21,,"""Mahnwache: Konsequentes Nachtflugverbot von 22 Uhr bis 6 Uhr am Flughafen BER. Kurzstreckenflüge gehören auf die Schiene. Alle Messdaten der Ultrafeinstaubmessung am Flughafen BER müssen öffentlich werden. Die Subventionierung des Flughafens und der Billigairlines muss beendet werden, denn wer fliegt oder Flüge anbietet, muss die tatsächlichen Kosten zahlen."" (vom 07.02. bis 01.08.2022 - jeweils Mo.)",40.0,13.0
Berlin,Berlin,2022-02-21,,"""Menschenkette für Solidarität"" (vom 17.01. bis 28.02.2022 - jeweils Mo.)",30.0,25.0
Berlin,Berlin,2022-02-21,,"""Free Ukraine! Anlass: Sitzung des russischen Sicherheitsrates. Gegen den von Russland geführten Krieg im Donbas.""",10.0,23.0
Berlin,Berlin,2022-02-22,,"""Warnstreik AOK Nordost""",150.0,220.0
Berlin,Berlin,2022-02-22,,"""Bundesweite Krankenhausschließungen stoppen""",20.0,
Berlin,Berlin,2022-02-22,,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10.0,3.0
Berlin,Berlin,2022-02-22,,"""Menschenrechtsverletzungen und Hinrichtungen im Iran stoppen""",5.0,3.0
Berlin,Berlin,2022-02-22,,"""Solidarität mit der Ukraine 8 Jahre nach dem Maidan""",10.0,
Berlin,Berlin,2022-02-22,,"""Ukraine Russland Konflikt""",30.0,
Berlin,Berlin,2022-02-22,,"""Bürgerinnen und Bürger äußern ihre Meinung zur aktuellen Politik, etwa der Umsetzung des Infektionsschutzgesetzes, und zur drohenden Spaltung der Gesellschaft."" (vom 01.02. bis 01.03.2022 - jeweils Di.)",35.0,25.0
Berlin,Berlin,2022-02-22,,"""Gegenprotest zu ""Menschen mit Schildern""! - Solidarität und Wissenschaft statt Verschwörungsideologie!"" (vom 08.02. bis 03.05.2022 - jeweils Di.)",30.0,20.0
Berlin,Berlin,2022-02-22,,"""Gegendemonstration gegen ImpfgegnerInnen und rechtsextreme VerschwörungsideologInnen"" (vom 08.02. bis 22.02.2022 - jeweils Di.)",20.0,15.0
Berlin,Berlin,2022-02-22,,"""Protest gegen Putins Ukraine-Politik/Frieden in der Ukraine""",50.0,
Berlin,Berlin,2022-02-22,,"""Menschen mit Schildern"" (vom 04.01. bis 27.12.2022 - jeweils Di.)",30.0,35.0
Berlin,Berlin,2022-02-22,,"""Solidarität mit der Ukraine! Für Frieden in Europa. Gemeinsamer Appel der politischen Jugendorganisationen""",250.0,
Berlin,Berlin,2022-02-22,,"""#UkrainiansWillResist""",100.0,650.0
Berlin,Berlin,2022-02-22,,"""Wir pfeifen auf Stuttgart 21"" (vom 04.01. bis 29.03.2022 - jeweils Di.)",5.0,4.0
Berlin,Berlin,2022-02-23,,"""Warnstreik im Rahmen der laufenden Tarifverhandlungen mit der AOK Tarifgemeinschaft""",120.0,
Berlin,Berlin,2022-02-23,,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10.0,2.0
Berlin,Berlin,2022-02-23,,"""Die deutsche Sektion der amnesty international entschloss sich bewusst, die Menschenrechtslage in Palästina zu ignorieren und über den Bericht von amnesty international zu den täglichen Menschenrechtsverletzungen und zur gegen die Palästinenser*innen errichteten Apartheid hinwegzusehen ….""",50.0,40.0
Berlin,Berlin,2022-02-23,,"""Antikriegsmahnwache - Kein Krieg und keine Kriegshetze gegen Russland! NATO-Hände weg von der Ukraine und an-deren Ländern, die in ihrem Fadenkreuz stehen!"" (vom 17.11.2021 bis 23.02.2022 - jeweils Mi.)",15.0,8.0
Berlin,Berlin,2022-02-23,,"""Rückblick auf den Jahrestag der Deportation von Tschetschenen nach Kasachstan am 23.02.1944""",50.0,20.0
Berlin,Berlin,2022-02-23,,"""Animal Rights Squares - Video-Aktion zur Aufklärung über die Tierindustrie""",10.0,10.0
Berlin,Berlin,2022-02-23,,nicht angezeigte coronakritische Versammlung Lankwitz Kirche,35.0,35.0
Berlin,Berlin,2022-02-23,,"""Ein Ungeimpfter geht zum Friseur: Anscheinend ist die Regierung der Meinung, gesunde Menschen, die nicht geimpft sind, seien hochansteckend, selbst dann, wenn diese nachweislich tagesaktuell gemäß §4a TestV mittels Schnelltests negativ getestet worden sind. Dennoch wird diesen Menschen z.B. der Friseurbesuch in Berlin, Brandenburg etc. verwehrt wird, während in vielen EU Staaten wie z.B. Polen dies kein Problem darstellt. Der ungeimpfte Anatol Wiecki, nur gesund, wird am Mittwoch (23.02.2022, 15.00 Uhr) vom Brandenburger Tor aus zum Friseur nach Polen gehen (sic!), da er zum Friseur in der Präcoronaphase auch nur zu Fuß gegangen ist. Damit zufällig vorbeikommende unbeteiligte Fußgänger ….""",100.0,1.0
Berlin,Berlin,2022-02-24,,Klimanotstand Berlin - Gesobau stoppen! Baumfällungen verhindern!,20.0,
Berlin,Berlin,2022-02-24,,"""Protest gegen Baumfällarbeiten"" (VA1)",30.0,30.0
Berlin,Berlin,2022-02-24,,"""Gegen Nachverdichtung im Planterwald"" (VA2)",20.0,
Berlin,Berlin,2022-02-24,,"""Mahnwache zur Aufklärung rechter Straftaten in Neukölln"" (vom 06.01. bis 29.12.2022 - jeweils Do.)",10.0,
Berlin,Berlin,2022-02-24,,"""Gegen das neue Hunderegistriergesetz, für mehr Hundeauslaufgebiete""",30.0,20.0
Berlin,Berlin,2022-02-24,,"""Übergabe einer Petition durch Unterstützer der Initiative Preußenpark""",12.0,
Berlin,Berlin,2022-02-24,,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10.0,1.0
Berlin,Berlin,2022-02-24,,"""#StandWithUkraine Russland hat heute Nacht eine militärische Operation gegen die Ukraine begonnen. Wir wollen unsere Solidarität mit der Ukraine kundtun und auf die Situation in der Ukraine aufmerksam machen.""",50.0,750.0
Berlin,Berlin,2022-02-24,,"""Anklage der bewaffneten Angriffe in Mexiko auf indigene Gemeinschaften durch Paramilitärische Gruppen.""",30.0,20.0
Berlin,Berlin,2022-02-24,,"""Für die Menschenrechte in Nordkorea: Gegen die schwere Christenverfolgung Gegen Bomben und Raketen, für die atomare Abrüstung; dafür ""genug zum Essen für alle"" Auflösung der Konzentrationslager"" (vom 13.01. bis 14.04.2022 - jeweils Do.)",15.0,10.0
Berlin,Berlin,2022-02-24,,"""Fahrraddemo zum Atomwaffenverbotsvertrag (AVV) mit Reden und kleiner Fahrradtour""",20.0,12.0
Berlin,Berlin,2022-02-24,,"""Sanktionen gegen Russland, Frieden für Ukraine""",500.0,1500.0
Berlin,Berlin,2022-02-24,,"""Love&Peace - Tour 2022""",15.0,5.0
Berlin,Berlin,2022-02-24,,"""Krieg in der Ukraine""",20.0,21.0
Berlin,Berlin,2022-02-24,,"""Menschen mit Schildern"" (vom 06.01. bis 30.12.2022 - jeweils Do.)",30.0,
Berlin,Berlin,2022-02-24,,"""Stop Putin - Stoppt den Krieg - Spontandemo angesichts des Überfalls Russlands auf die Ukraine. Gemeinsames Auftreten von pro-europäischen russischen, ukrainischen, belarussischen, deutschen und sonstigen Initiativen.""",300.0,650.0
Berlin,Berlin,2022-02-24,,"""Russland-Ukraine-Konflikt""",8.0,
Berlin,Berlin,2022-02-24,,"""Aktiver Widerstand gegen jeden Aggressionskrieg, ob USA / NATO oder Russland. Kampf der Weltkriegsgefahr.""",80.0,30.0
Berlin,Berlin,2022-02-24,,„Kein Krieg in der Ukraine“,75.0,500.0
Berlin,Berlin,2022-02-24,,"""Love&Peace - Tour 2022""",15.0,
Berlin,Berlin,2022-02-25,,Klimanotstand Berlin - Gesobau stoppen! Baumfällungen verhindern!,20.0,
Berlin,Berlin,2022-02-25,,"""Gerechtigkeit Für Jamil Ahmadi / Gegen Hasskriminalität""",30.0,4.0
Berlin,Berlin,2022-02-25,,"""Nein zu Krieg in der Ukraine""",4.0,4.0
Berlin,Berlin,2022-02-25,,"""Klimamahnwache zum Pariser Abkommen Fridays For Future"" (vom 04.02. bis 29.04.2022 - jeweils Fr.)",12.0,5.0
Berlin,Berlin,2022-02-25,,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10.0,3.0
Berlin,Berlin,2022-02-25,,"""Solidarität mit der Ukraine""",200.0,200.0
Berlin,Berlin,2022-02-25,,"""Krieg in der Ukraine. Seid ihr dabei?""",10.0,
Berlin,Berlin,2022-02-25,,"""Klimamahnwache""",5.0,
Berlin,Berlin,2022-02-25,,"""Sanktionen gegen Russland, Frieden für Ukraine""",500.0,600.0
Berlin,Berlin,2022-02-25,,"""Gesund ohne Zwang""",15.0,3.0
Berlin,Berlin,2022-02-25,,"""#VisionZero - Fahrraddemonstration zum Gedenken an einen tödlich verunglückten Radfahrer""",100.0,80.0
Berlin,Berlin,2022-02-25,,"""Die Waffen nieder! - Mahnwache gegen die Bombenangriffe und Einmarsch der russischen Truppen in die Ukraine.""",50.0,450.0
Berlin,Berlin,2022-02-25,,"""Wir, die FREIEN GEISTER, fahren für unsere Kinder und gegen die Spaltung unserer Gesellschaft. Wir lassen uns nicht spalten. Zusammenhalt und Gleichberechtigung für ALLE ! / Jung und Alt, groß und klein, KEINE G - Regeln, für ALLE. Wir sind Menschen aus der Mitte unserer Bevölkerung. Das ist für unsere Kinder, sie sollen nicht in Ketten leben, ohne Angst und ohne Tränen. Meinungsfreiheit und Diskurs um die Bevölkerung zu einen. Wir informieren die Bevölkerung über Daten, Zahlen und Fakten sowie die Entwicklungen und Auswirkungen der Coronamaßnahmen und decken Hintergründe im Zusammenhang mit dem Infektionsschutzgesetz auf. Ein klares Nein zur Impfpflicht.""",70.0,27.0
Berlin,Berlin,2022-02-25,,"""Mahnwache zum Gedenken an den 2. getöteten Radfahrer 2022 in Berlin""",300.0,200.0
Berlin,Berlin,2022-02-25,,"""Nein zur drohenden Schließung von Memorial International.""",70.0,
Berlin,Berlin,2022-02-25,,"""Mahnwache für Solidarität mit Charkiw und Frieden in Europa""",20.0,150.0
Berlin,Berlin,2022-02-25,,"""Protestkundgebung gegen Auflösung von Memorial""",50.0,250.0
Berlin,Berlin,2022-02-25,,"""Kultur gegen Krieg""",100.0,3000.0
Berlin,Berlin,2022-02-26,,"""Crimea 5 am - internationales Demo-Projekt zum Thema politischer Gefangenen auf der Halbinsel Krim""",100.0,160.0
Berlin,Berlin,2022-02-26,,"""Gedenkmarsch zu Ehren afrikanischer Opfer von Versklavung, Kolonialismus, Neokolonialismus und Rassismus""",300.0,75.0
Berlin,Berlin,2022-02-26,,"""Klima-Mahnwache""",4.0,4.0
Berlin,Berlin,2022-02-26,,"""Russland - Ukraine ""Die Waffen nieder - Jetzt verhandeln""",20.0,
Berlin,Berlin,2022-02-26,,"""In solidarity with Ukraine"" - Solidarität mit der Ukraine""",20.0,160.0
Berlin,Berlin,2022-02-26,,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10.0,2.0
Berlin,Berlin,2022-02-26,,"""Freiheit ist nicht verhandelbar""",5000.0,70.0
Berlin,Berlin,2022-02-26,,"""Auto- und Fahrradkorso vom Autokorso Berlin -das Original, eine Informationsveranstaltung für alle Menschen. Wir leben Demokratie und fordern unsere Grundrechte ein! Wir dulden keinen Gesundheitsfaschismus und keine Experimente an Menschen! Für Frieden, Freiheit und Selbstbestimmung! Offenes Mikrophon, jeder Mensch hat eine Stimme.""",150.0,33.0
Berlin,Berlin,2022-02-26,,Krieg in der Ukraine,300.0,
Berlin,Berlin,2022-02-26,,"""Marzahn Mackerfrei""",50.0,
Berlin,Berlin,2022-02-26,,"""Gegen Terror und Folter in Kasachstan""",10.0,8.0
Berlin,Berlin,2022-02-26,,"""Menschenrechte für Tamil Eelam""",40.0,44.0
Berlin,Berlin,2022-02-26,,"""Deutsche Wohnen und Co enteignen""",30.0,27.0
Berlin,Berlin,2022-02-26,,"""Es geht um Lützerath und den geplanten Abriss des Dorfes, um dort nach Kohle zu buddeln. Wir wollen durch unsere Aktion Präsenz auf der Straße zeigen und Aufmerksamkeit auf das Thema lenken.""",9.0,7.0
Berlin,Berlin,2022-02-26,,"""Video-Aktion zur Aufklärung über die Tierindustrie""",10.0,10.0
Berlin,Berlin,2022-02-26,,"""nein zu jedem Imperialistischen Krieg! Solidarität mit der ukrainischen Bevölkerung""",500.0,90.0
Berlin,Berlin,2022-02-26,,"""6 Monate Taliban""",150.0,140.0
Berlin,Berlin,2022-02-26,,"""Freiheit für Ali Osman Köse""",10.0,12.0
Berlin,Berlin,2022-02-26,,"""Heimat und Weltfrieden"" (vom 05.02. bis 31.12.2022 - jeweils Sa.)",10.0,10.0
Berlin,Berlin,2022-02-26,,"""Heimat und Weltfrieden"" (vom 08.01. bis 31.12.2022 - jeweils Sa.)",20.0,
Berlin,Berlin,2022-02-26,,"""Love&Peace - Tour 2022""",15.0,
Berlin,Berlin,2022-02-26,,"""Solidaritätskundgebung mit der Palästinensischen Bevölkerung in SehekJarh in Jerusalem und mit den Palästinensischen Gefangenen.""",50.0,45.0
Berlin,Berlin,2022-02-26,,"""Neue Verfassung in Peru - Gegen die Korruption""",20.0,15.0
Berlin,Berlin,2022-02-26,,"""Gemeinsam Bewegen für ein besseres Morgen""",500.0,
Berlin,Berlin,2022-02-26,,"""Das Wort zum letzten Sonntag - Alleinerziehende organisieren sich -""",20.0,2.0
Berlin,Berlin,2022-02-26,,"""Love&Peace - Tour 2022""",15.0,
Berlin,Berlin,2022-02-26,,"""Friedenskundgebung""",100.0,200.0
Berlin,Berlin,2022-02-26,,"""Solidarität mit der Ukraine""",,
Berlin,Berlin,2022-02-27,,"""Solidarische Tanzaktion für den Frieden in der Ukraine""",30.0,
Berlin,Berlin,2022-02-27,,"""Rüstungsexporte stoppen""",20.0,
Berlin,Berlin,2022-02-27,,"""Referendum"" in Belarus.""",30.0,50.0
Berlin,Berlin,2022-02-27,,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10.0,2.0
Berlin,Berlin,2022-02-27,,"FRIEDEN Erbitten für morgen den 27. AUF dem sowjetischen Ehrenmal im Tiergarten um eine erneute Sondergenehmigung. Wie schon am 8. Mai 2020 vom Innenminister genehmigt, zuzüglich ZEITVERSETZT VOR DEM BRANDENBURGER TOR. Das Aufstellen der vier Alliierten Flagge im Sockel zuzüglich einer Ukrainerin Flagge.",5.0,
Berlin,Berlin,2022-02-27,,"""Zug für Frieden in der Ukraine""",1500.0,
Berlin,Berlin,2022-02-27,,"""Gemeinsam für den Frieden""",20000.0,
Berlin,Berlin,2022-02-27,,"""Positives Jüdisches Leben als Teil der deutschen Gesellschaft sichtbar machen - Thora gegen Antisemitismus""",400.0,150.0
Berlin,Berlin,2022-02-27,,"""Gedenken an der Rummelsburger Bucht""",30.0,3.0
Berlin,Berlin,2022-02-27,,"""Am 28. Februar jährt sich der Tod von Homa und Tajala Zaher zum zweitem Mal. Am 27. Februar wollen wir den beiden gedenken und gemeinsam trauern.""",50.0,35.0
Berlin,Berlin,2022-02-27,,"""Sichere Bildungseinrichtungen für Berlin und in allen anderen Bundesländern Deutschlands""",75.0,42.0
Berlin,Berlin,2022-02-27,,"""Unterstützung der friedlichen, algerischen Revolution"" (vom 09.01. bis 10.07.2022 - jeweils So.)",10.0,
Berlin,Berlin,2022-02-27,,"""Russen wollen keinen Krieg Friedensmarsch zum Gedenken an Boris Nemzow, den prominentesten Kreml-Kritiker, der am 27.02.2015 getötet wurde""",100.0,
Berlin,Berlin,2022-02-27,,"""Mahnwache für eine getötete Fußgängerin""",20.0,15.0
Berlin,Berlin,2022-02-27,,"""Gedenken an Chodschali Massaker in Aserbaidschan am 26.02.1992""",10.0,60.0
Berlin,Berlin,2022-02-27,,"""Mahnwache von Queer durch Berlin zum Thema Feminizide""",20.0,3.0
Berlin,Berlin,2022-02-27,,"""Mahnwache von Queer durch Berlin zum Thema Gentrifizierung""",20.0,20.0
Berlin,Berlin,2022-02-27,,"""Mahnwache von Queer durch Berlin zum Thema Kolonialismus""",20.0,20.0
Berlin,Berlin,2022-02-28,,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10.0,
Berlin,Berlin,2022-02-28,,"""Brennpunkt Klima""",30.0,
Berlin,Berlin,2022-02-28,,"""NEIN zum Impfzwang im Gesundheitswesen! Solidarität mit den Beschäftigten""",100.0,80.0
Berlin,Berlin,2022-02-28,,"""Friedenskundgebung""",20.0,13.0
Berlin,Berlin,2022-02-28,,"„79. Jahrestag der ‚Fabrik-Aktion‘ - Kundgebung gegen Antisemitismus""",150.0,85.0
Berlin,Berlin,2022-02-28,,"""Mahnwache für Frieden und Menschenrechte"" (vom 03.01. bis 28.03.2022 - jeweils Mo.)",10.0,4.0
Berlin,Berlin,2022-02-28,,"""Gegen Terror und Folter in Kasachstan""",7.0,6.0
Berlin,Berlin,2022-02-28,,"""Gegenaktion zu den ""Spaziergängen"" am Antonplatz"" (vom 14.02. bis 07.03.2022 - jeweils Mo.)",20.0,
Berlin,Berlin,2022-02-28,,"""Freiheit ist manchmal auch Einsicht in die Notwendigkeit, deshalb solidarisch durch die Krise. Für die kritische Vernunft und die Demokratie, mit Abstand gegen Rechts, Antisemiten und Verschwörungsprediger! Kurzfassung: Nu is jleich zappendusta!"" (vom 10.01. bis 28.03.2022 - jeweils Mo.)",200.0,10.0
Berlin,Berlin,2022-02-28,,"""""Einigkeit und Recht und Freiheit"" umfasst das Plädoyer für eine freie, informierte Impfentscheidung und die vollumfängliche Achtung, Würdigung und Einhaltung der Grund- und Menschenrechte für jeden Menschen, unabhängig vom politisch und medial zugewiesenen Status."" (vom 31.01. bis 28.02.2022 - jeweils Mo.)",200.0,200.0
Berlin,Berlin,2022-02-28,,"""Mit Nazis geht man nicht spazieren""",50.0,3.0
Berlin,Berlin,2022-02-28,,"""Protestkundgebung gegen Coronaleugner"" (vom 07.02. bis 28.02.2022 - jeweils Mo.)",30.0,21.0
Berlin,Berlin,2022-02-28,,"""Menschenkette für Solidarität"" (vom 17.01. bis 28.02.2022 - jeweils Mo.)",30.0,
Berlin,Berlin,2022-02-28,,"""gegen den missbrauch der zeile ""Thema der Versammlung"" der berliner versammlungsbehörde durch schwurbel. die Themen sollten lediglich eine unterscheidbarkeit zu anderen Versammlungen darstellen. KEINE AUSFÜHRUNGEN überden aktuellen zustand des Völkerrechts oder WILKÜRLICHE AUFLISTUNG von allen aufgerufenen bevölkerungsteilen. hingegen ist auch das Thema ""laufdemo"" oder für ""Demokratie"" kein ausreichendes gewehr für Distinktion. wir weisen zusätzlich darauf hin, dass ""schüler stehen auf"" nicht das Gegenteil von "" bleiben sitzen"" bedeutet. die schöne klare deutsche sprache und die überaus ordentlichen Behörden werden von schwurbel verunglimpft.schwurbe, die behaupten, dass es seit 2020 keine Versammlungsfreiheit mehr gäbe, verunstalten willkürlich die schöne übersicht-seite auf berlin.de!!!!111!!!1! wir sind empört, obwohl uns bewusst ist, dass dies eine peovokation ist, wie die Rüpelhaftigkeit der afd in den Parlamenten. aufrechte Demokratinnen spazieren nicht rechtspopulistinnen! [sic]",10.0,8.0
