region,city,date,organizer,topic,participants_registered,participants_actual
Baden-Württemberg,Karlsruhe,2022-02-21,,Gegen die Kriminalisierung von Kurdisten - Solidarität,25.0,
Baden-Württemberg,Karlsruhe,2022-02-21,,Multireligiöses Gebet für eine solidarische Gesellschaft,100.0,
Baden-Württemberg,Karlsruhe,2022-02-24,,"Maskenfreie Feststellung: Es scheint so, als ob es möglicher Weise sein könnte, dass den Richtern des Bundesverfassungsgerichtes nicht klar ist, dass wir in Deutschland, nach der Pandemie-Regelung von 2008, in den letzten beiden Jahren keine Pandemie hatten.",47.0,
Baden-Württemberg,Karlsruhe,2022-02-24,,Karlsruhe gegen Krieg - Nein zum Krieg in der Ukraine,1000.0,
Baden-Württemberg,Karlsruhe,2022-02-24,,Frieden für die Ukraine und Sicherheit für Europa,20.0,
Baden-Württemberg,Karlsruhe,2022-02-25,,Fotoshooting zum Auftakt der Tarifrunde Sozial- und Erziehungsdienst,20.0,
Baden-Württemberg,Karlsruhe,2022-02-25,,Frieden für die Ukraine und Sicherheit für Europa,100.0,
Baden-Württemberg,Karlsruhe,2022-02-25,,Ende aller Pandemiemaßnahmen ,200.0,
Baden-Württemberg,Karlsruhe,2022-02-26,,Völkermord in Sri Lanka,50.0,
Baden-Württemberg,Karlsruhe,2022-02-26,,Frieden für die Ukraine und Sicherheit für Europa,150.0,
Baden-Württemberg,Karlsruhe,2022-02-27,,Radfahren für Justice (Den Haag nach Genf),20.0,
Baden-Württemberg,Karlsruhe,2022-02-27,,Karlsruhe gegen Krieg,250.0,
Baden-Württemberg,Karlsruhe,2022-02-27,,"Mahnwache: ""Für mehr Zäune an Hundewiesen""",30.0,
Baden-Württemberg,Karlsruhe,2022-02-28,,Mahnwache gegen den Krieg in der Ukraine ,50.0,
Baden-Württemberg,Karlsruhe,2022-02-28,,"Marsch für Frieden, Freiheit, Selbstbestimmung und ohne Krieg weltweit! Für eine bessere Welt und eine diskriminierungsfreie Gesellschaft!",800.0,
Baden-Württemberg,Karlsruhe,2022-02-28,,"Montagsdemo gegen HartzIV und Sozialabbau, Aktiver Widerstand für den Weltfrieden! Gegen jede imperialistische Aggression  und Krieg, egal ob von Russland oder USA/Nato!",50.0,
Baden-Württemberg,Karlsruhe,2022-03-01,,Frieden in Europa und Solidarität mit der Ukraine,30.0,
Baden-Württemberg,Karlsruhe,2022-03-01,,"Maskenfreie Feststellung: Ohne vorherige Debatte stimmt der Bundestag am Mittwoch, 16. März 2022, über die Überweisung eines von den Ampelkoalitionsfraktionen SPD, Bündnis 90/Die Grünen und FDP geplanten Gesetzentwurfs zu Änderung des Infektionsschutzgesetzes ab. Die Vorlage soll zur federführenden Beratung an den Gesundheitsausschuss überwiesen werden. Die Abstimmung wird live übertragen. ",47.0,
Baden-Württemberg,Karlsruhe,2022-03-01,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",8.0,
Baden-Württemberg,Karlsruhe,2022-03-02,,Ampeldemo für Tierrechte,10.0,
Baden-Württemberg,Karlsruhe,2022-03-03,,"Impfpflicht und Impfzwang stoppen! Für Frieden, Freiheit, Souveränität ",60.0,
Baden-Württemberg,Karlsruhe,2022-03-05,,Bürgerbewegung Karlsruhe steht auf. Karlsruhe geht spazieren! Gegen Zwang jeglicher Art!,1500.0,
Baden-Württemberg,Karlsruhe,2022-03-05,,Demonstration für Freiheit (Religion),20.0,
Baden-Württemberg,Karlsruhe,2022-03-05,,Versammlung gegen Kindesmissbrauch,30.0,
Baden-Württemberg,Karlsruhe,2022-03-06,,No War,4.0,
Baden-Württemberg,Karlsruhe,2022-03-06,,Karlsruhe steht zusammen: Solidarität mit der Ukraine!,1500.0,
Baden-Württemberg,Karlsruhe,2022-03-06,,Bewegungsmeditation für den inneren und äußeren frieden und gegen die Erstarrung der Herzen,80.0,
Baden-Württemberg,Karlsruhe,2022-03-06,,"Mahnwache: ""Für mehr Zäune an Hundewiesen""",30.0,
Baden-Württemberg,Karlsruhe,2022-03-07,,Equal Pay Day 2022,30.0,
Baden-Württemberg,Karlsruhe,2022-03-07,,"Frieden - jetzt! Für Frieden, keine Kriege weltweit, Freiheit, Meinungsfreiheit, Selbstbestimmung und eine Diskriminierungsfreie Gesellschaft",750.0,
Baden-Württemberg,Karlsruhe,2022-03-07,,"Montagsdemo gegen HartzIV und Sozialabbau, Aktiver Widerstand für den Weltfrieden! Gegen jede imperialistische Aggression  und Krieg, egal ob von Russland oder USA/Nato!",50.0,
Baden-Württemberg,Karlsruhe,2022-03-07,,Internationaler Frauentag 2022,40.0,
Baden-Württemberg,Karlsruhe,2022-03-08,,Kreideaktion anlässlich des 8. März,2.0,
Baden-Württemberg,Karlsruhe,2022-03-08,,Catcalls of Karlsruhe kreiden an anlässlich des  8. März 2022,3.0,
Baden-Württemberg,Karlsruhe,2022-03-08,,"Feministisch kämpfen, streiken, Gegenmacht aufbauen!",300.0,
Baden-Württemberg,Karlsruhe,2022-03-08,,Tag der Befreiung der Frau,30.0,
Baden-Württemberg,Karlsruhe,2022-03-08,,Infostand zum Thema Abtreibungen von der Hochschulgruppe Amnesty International,10.0,
Baden-Württemberg,Karlsruhe,2022-03-08,,Internationalen Weltfrauentag ,250.0,
Baden-Württemberg,Karlsruhe,2022-03-10,,Mahnwache gegen den Krieg in der Ukraine und für Frieden in Europa,100.0,
Baden-Württemberg,Karlsruhe,2022-03-10,,Maskenfreie Feststellung ,47.0,
Baden-Württemberg,Karlsruhe,2022-03-11,,Krieg in der Ukraine und Atomgefahr,15.0,
Baden-Württemberg,Karlsruhe,2022-03-11,,"Anwälte und Juristen für das Grundgesetz - ""Die Würde des Menschen ist unantastbar"" ",700.0,
Baden-Württemberg,Karlsruhe,2022-03-12,,Krieg in der Ukraine,2.0,
Baden-Württemberg,Karlsruhe,2022-03-13,,Solidarität mit der Ukraine,700.0,
Baden-Württemberg,Karlsruhe,2022-03-14,,"Frieden - jetzt! Für Frieden, keine Kriege weltweit, Freiheit, Meinungsfreiheit, Selbstbestimmung und eine Diskriminierungsfreie Gesellschaft",750.0,
Baden-Württemberg,Karlsruhe,2022-03-14,,"Montagsdemo gegen Hartz IV und Sozialabbau, Aktiver Widerstand für den Weltfrieden! Gegen jede imperialistische Aggression und Krieg, egal ob von Russland oder USA/NATO!",50.0,
Baden-Württemberg,Karlsruhe,2022-03-17,,Maskenfreie Feststellung,23.0,
Baden-Württemberg,Karlsruhe,2022-03-17,,Kundgebung zur Tarifrunde Öffentlicher Banken,30.0,
Baden-Württemberg,Karlsruhe,2022-03-18,,"Freiheit, Demokratie, Grundgesetz, keine Impfpflicht, keine Maskenpflicht, Selbstbestimmung",300.0,
Baden-Württemberg,Karlsruhe,2022-03-18,,Freiheit für alle politischen Gefangenen!,100.0,
Baden-Württemberg,Karlsruhe,2022-03-18,,Geht hin in alle Welt und verkündigt das Evangelium der ganzen Schöpfung,3.0,
Baden-Württemberg,Karlsruhe,2022-03-19,,"Tierschutz, Tierrechte , Klima- und Umweltschutz",20.0,
Baden-Württemberg,Karlsruhe,2022-03-19,,Malaktion um den Klimastreik am 25.03. zu bewerben,30.0,
Baden-Württemberg,Karlsruhe,2022-03-19,,Kundgebung zum internationalen Tag gegen Rassismus,200.0,
Baden-Württemberg,Karlsruhe,2022-03-19,,Migration-Flucht-Rassismus,50.0,
Baden-Württemberg,Karlsruhe,2022-03-20,,Pulse of Europe-Kundgebung zur Situation in der Ukraine ,100.0,
Baden-Württemberg,Karlsruhe,2022-03-20,,Bewegungsmeditation für den inneren und äußeren frieden und gegen die Erstarrung der Herzen,80.0,
Baden-Württemberg,Karlsruhe,2022-03-20,,Keine Aufrüstung im Windschatten des Ukraine-Kriegs,200.0,
Baden-Württemberg,Karlsruhe,2022-03-21,,"Wir fordern: Dauerhaft freie Impfentscheidungen (Streichung aller COVID-19-Impfpflichten im IfSG) Frist: 31.03.2022, Sonst: Verdoppelung der Demonstrationsanzahl",750.0,
Baden-Württemberg,Karlsruhe,2022-03-21,,"Montagsdemo gegen HartzIV und Sozialabbau, Aktiver Widerstand für den Weltfrieden! Gegen jede imperialistische Aggression  und Krieg, egal ob von Russland oder USA/Nato!",50.0,
