event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
DEU18516,10 January 2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Farmers (Germany),6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Mitte,52.5177,13.4024,1,Berliner Morgenpost,Subnational,"On 10 January 2024, overnight, 25 people with 24 tractors, 14 trucks and 4 cars, staged a vigil in front of Brandenburger Tor in Berlin - Mitte (Berlin). The event was part of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts.",0,crowd size=25,1705439369,23736,43046,138680,23736
DEU18636,10 January 2024,2024,1,Demonstrations,Protests,Protest with intervention,Protesters (Germany),Last Generation (Germany),6,Police Forces of Germany (2021-),,1,16,,276,Europe,Germany,Berlin,Berlin,,Berlin - Tempelhof-Schoneberg,52.4406,13.3738,1,Berliner Zeitung,National,"On 10 January 2024, 16 Last Generation activists protested at Innsbrucker Platz in Berlin - Tempelhof-Schoneberg (Berlin) to raise awareness about the climate crisis and to denounce 'double standards' in the coverage of their protests and their climate demands, and those of the farmers, many of whom were protesting against planned cuts to agricultural subsidies at the time of reporting. The police intervened and carried the protesters off the street.",0,crowd size=16,1705439369,6225,56478,257092,6225
DEU18954,08 January 2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Farmers (Germany); Querdenken,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Mitte,52.5177,13.4024,1,Abendzeitung Munchen,National,"On 8 January 2024, approximately 550 farmers, including numerous tractors, staged a protest at the Brandenburg Gate in Berlin - Mitte (Berlin), as part of a nationwide farmers' demonstration movement against the German government's agricultural policies, notably its plans to introduce budget cuts to Agrardiesel and remove vehicle tax exemptions. Far-right and Querdenken activists joined the protest, with some showing handwritten banners reading 'The Democrats bring the death of the people'.",0,crowd size=approximately 550,1705439370,23736,43046,138680,23736
DEU18779,07 January 2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Farmers (Germany),6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Mitte,52.5177,13.4024,1,Berliner Morgenpost,Subnational,"On 7 January 2024, around 48 farmers staged a protest with their tractors along the 17 of June Street in Berlin - Mitte (Berlin), as part of a nationwide farmers' demonstration movement against the German government's agricultural policies, protesting against the planned budget cuts concerning Agrardiesel and vehicle tax exemptions.",0,crowd size=around 48,1705439370,23736,43046,138680,23736
DEU18967,07 January 2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Last Generation (Germany),6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Mitte,52.5177,13.4024,1,Mitteldeutschen Zeitung,National,"On 7 January 2024, around a dozen Last Generation activists staged a protest in front of the Brandenburg Gate in Berlin - Mitte (Berlin), referencing ongoing heavy rainfall in Germany with slogans like 'Climate protection is the best monument protection' and 'Floods know no monument protection'; the activists also stacked sandbags in front of the Brandenburg Gate.",0,crowd size=around a dozen,1705439370,23736,43046,138680,23736
DEU18989,07 January 2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Charlottenburg-Wilmersdorf,52.5079,13.2639,1,Die Tageszeitung,National,"On 7 January 2024, around 100 individuals staged a protest in front of the University of Arts in Berlin - Charlottenburg-Wilmersdorf (Berlin) with the motto 'Against every anti-Semitism and Islamism. Antifa means solidarity with Israel', demanding the immediate release of all hostages in the Israel-Hamas War and expressing support for Israel.",0,crowd size=around 100,1705439370,5204,47722,197160,5204
DEU18990,07 January 2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Neukolln,52.481,13.4354,1,Die Tageszeitung,National,"On 7 January 2024, approximately 700 individuals staged a protest in Berlin - Neukolln (Berlin), taking part in a car procession consisting of around 230 cars, protesting against the Israeli military campaign in Gaza and expressing solidarity with Palestine under the slogan 'Palestine will be Free.'",0,crowd size=arroximately 700,1705439370,13698,46672,192613,13698
DEU18492,31 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Mitte,52.5177,13.4024,1,Indymedia (Germany),Other,"On 31 December 2023, about 300 people participated in a protest in front of the prison in Moabit in Berlin - Mitte (Berlin) in solidarity with the prisoners, for the abolishment of prisons and against the repressions of defendants.",0,crowd size=about 300,1704833931,23736,43046,138680,23736
DEU18493,31 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Neukolln,52.481,13.4354,1,Oe24.At,Regional,"On 31 December 2023, about 2,000 people participated in a pro-Palestine protest in Berlin - Neukolln (Berlin) under the motto 'No New Year's Eve - Solidarity with Palestine'.",0,"crowd size=about 2,000",1704833931,13698,46672,192613,13698
DEU18494,31 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Reinickendorf,52.5711,13.3459,1,Indymedia (Germany),Other,"On 31 December 2023, about 60 people participated in a protest in front of the prison in Tegel in Berlin - Reinickendorf (Berlin) in solidarity with the prisoners and for the abolishment of prisons as well as against the repressions of defendants.",0,crowd size=about 60,1704833931,5513,33114,207579,5513
DEU18495,31 December 2023,2023,1,Political violence,Riots,Mob violence,Rioters (Germany),,5,Civilians (Germany),LGBTQ+ (Germany),7,57,Civilian targeting,276,Europe,Germany,Berlin,Berlin,,Berlin - Tempelhof-Schoneberg,52.4406,13.3738,1,Polizei Berlin,Other,"On 31 December 2023, overnight, 4 men homophobically insulted, hit and kicked a couple aged 22 and 24 in Berlin - Tempelhof-Schoneberg (Berlin) after they refused to buy drugs from them. The couple was treated in a hospital.",0,crowd size=4,1704833931,6225,56478,257092,56478
DEU18486,30 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Charlottenburg-Wilmersdorf,52.5079,13.2639,1,Merkur,National,"On 30 December 2023, about 500 people participated in a pro-Palestine protest in Berlin - Charlottenburg-Wilmersdorf (Berlin) under the motto 'Solidarity with Palestine'.",0,crowd size=about 500,1704833931,5204,47722,197160,5204
DEU18474,29 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Israeli Group (Germany),6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Mitte,52.5177,13.4024,1,Indymedia (Germany),Other,"On 29 December 2023, up to 100 people, including Israeli immigrants, participated in a protest in Berlin - Mitte (Berlin) close to the foreign ministry called for by the newly found network 'Israelis fur den Frieden' (Israelis for Peace) against the war in Gaza and what they claim to be a genocide, as well as for an immediate ceasefire, for a diplomatic solution and for the exchange of all hostages. The participants were also against German arms deliveries to Israel, against Netanyahu's right-wing government and the illegal occupation and settlement policy.",0,crowd size=up to 100,1704833931,23736,43046,138680,23736
DEU18406,23 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Friedrichshain-Kreuzberg,52.501,13.4403,1,Der Tagesspiegel,Subnational,"On 23 December 2023, around 2,000 people protested in Berlin - Friedrichshain-Kreuzberg (Berlin), demonstrating solidarity with Palestine, condemning the bombing of Gaza, and advocating for an end to the conflict in the Middle East, marching from Hallesches Tor in Kreuzberg to the Brandenburg Gate.",0,"crowd size=around 2,000",1705439369,11620,45734,127378,11620
DEU18371,20 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Students (Germany); Palestinian Group (Germany); Jewish Group (Germany),6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Charlottenburg-Wilmersdorf,52.5079,13.2639,1,Berliner Morgenpost; Berliner Zeitung; Mitteldeutschen Zeitung; Rheinische Post,Subnational-National,"On 20 December 2023, around 100 individuals, including Palestinian, Jewish, and allied students, staged a protest at the University of the Arts in Berlin - Charlottenburg-Wilmersdorf (Berlin), criticizing the universities' handling of the Gaza conflict, demanding solidarity and advocating for Palestinian rights while condemning what they perceive as biased narratives and censorship by universities regarding the conflict in the Gaza Strip.",0,crowd size=around 100,1705439369,5204,47722,197160,5204
DEU18402,20 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Tempelhof-Schoneberg,52.4406,13.3738,1,Die Tageszeitung,National,"On 20 December 2023, tenants' representatives from Berlin's municipal housing companies staged a protest in Berlin in Bulowstreet-Ost (Berlin - Tempelhof-Schoneberg, Berlin), protesting against rent increases following the termination of social commitments, emphasizing the impact on tenants due to heightened rents.",0,crowd size=no report,1705439369,6225,56478,257092,6225
DEU18382,19 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Mitte,52.5177,13.4024,1,Berliner Zeitung,National,"On 19 December 2023, about 300 activists gathered for a pro-Palestine rally at the main train station in Berlin - Mitte (Berlin), condemning the Israeli occupation.",0,crowd size=about about 300,1705439369,23736,43046,138680,23736
DEU18312,18 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Farmers (Germany),6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Mitte,52.5177,13.4024,1,Norddeutscher Rundfunk,National,"On 18 December 2023, 8-10 thousand farmers gathered for a rally in Berlin - Mitte (Berlin), protesting against the proposed reduction of tax bonuses for agricultural fuel. Associations of farmers organized gatherings and rides also at numerous other locations across the country.",0,crowd size=8000-10000,1705439369,23736,43046,138680,23736
DEU18383,17 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Neukolln,52.481,13.4354,1,Der Tagesspiegel,Subnational,"On 17 December 2023, about 750 activists in 500 cars demonstratively rode through Berlin - Neukolln (Berlin), demanding freedom for Palestine.",0,crowd size=about 750,1705439369,13698,46672,192613,13698
DEU18384,16 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Mitte,52.5177,13.4024,1,Berliner Zeitung,National,"On 16 December 2023, activists gathered for a rally in Berlin - Mitte (Berlin), demanding immediate climate action.",0,crowd size=no report,1705439369,23736,43046,138680,23736
DEU18368,15 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Students (Germany),6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Neukolln,52.481,13.4354,1,Die Tageszeitung,National,"On 15 December 2023, about 50 parents and students gathered near their school in Berlin - Neukolln (Berlin), demanding better conditions for studies and learning, especially more teachers.",0,crowd size=about 50,1704833927,13698,46672,192613,13698
DEU18380,15 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Charlottenburg-Wilmersdorf,52.5079,13.2639,1,Berliner Zeitung,National,"On 15 December 2023, about 300 activists gathered for a pro-Palestine march from Wittenberg Square to Olivaer Square in Berlin - Charlottenburg-Wilmersdorf (Berlin), decrying the violence perpetrated by Israel on Palestinian civilians.",0,crowd size=about 300,1704833927,5204,47722,197160,5204
DEU18381,15 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin,52.5244,13.4105,1,Indymedia (Germany),Other,"On 15 December 2023, leftist and anti-fascist activists gathered for a rally at an unspecified location in Berlin (Berlin), demanding immediate release of one of their fellows, currently facing trial in detention for their political activities.",0,crowd size=no report,1704833927,12063,36936,140673,12063
DEU18369,15 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Students (Germany),6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Steglitz-Zehlendorf,52.428,13.2317,1,Rbb24,Subnational,"On 15 December 2023, several dozen activists, mostly students, gathered with pickets for a silent rally near the Free University in Berlin - Steglitz-Zehlendorf (Berlin), declaring their support for Israel amid the Israel-Hamas War. The event was organized by the movement 'Fridays for Israel'.",0,crowd size=several dozen,1705439369,7830,24852,102728,7830
DEU18362,14 December 2023,2023,1,Demonstrations,Protests,Protest with intervention,Protesters (Germany),Students (Germany),6,Rioters (Germany),Students (Germany),5,56,,276,Europe,Germany,Berlin,Berlin,,Berlin - Steglitz-Zehlendorf,52.428,13.2317,1,Der Tagesspiegel,Subnational,"On 14 December 2023, between 50 and 60 students and activists from 'Students for Free Palestine' occupied a lecture hall at Free University in Berlin - Steglitz-Zehlendorf (Berlin) and prevented Jewish students from entering. Police officers were present and verified the protesters' identities. During the occupation, there were also physical confrontations between pro-Palestinian activists and university students who tried to stop the occupation by tearing down flyers and posters. A police spokesman said several reports of assault had been made. Two demonstrators were slightly injured and complained of pain.",0,crowd size=between 50 and 60,1704833927,7830,24852,102728,7830
DEU18423,10 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),"BDS: Boycott, Divestment and Sanctions",6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Mitte,52.5177,13.4024,1,Berliner Morgenpost; Der Tagesspiegel,Subnational,"On 10 December 2023, around 2,500 people demonstrated along Friedrichstrasse in Berlin - Mitte (Berlin) in solidarity with Palestine and to call for an end to arms deliveries to Israel, accusing the country of engaging in a 'genocide'. Members of BDS were present to call for the boycott of the State of Israel and Israeli products because of its actions against Palestinians.",0,"crowd size=around 2,500",1704833929,23736,43046,138680,23736
DEU18424,10 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),CDU: Christian Democratic Union of Germany; SPD: Social Democratic Party of Germany; Government of Germany (2021-); Jewish Group (Germany); The Greens (Germany),6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Mitte,52.5177,13.4024,1,Berliner Zeitung; Der Tagesspiegel,Subnational-National,"On 10 December 2023, between 3,000 (according to the police) and 11,000 (according to organizers) people, including the mayor of Berlin (CDU), Federal Labor Minister (SPD), officials of The Greens, the Bundestag President (SPD), and a Rabbi, demonstrated from Victory Column to the Brandenburg Gate in Berlin - Mitte (Berlin) against anti-Semitism, hatred, racism, and xenophobia. Protesters called for solidarity and respectful coexistence, as well as a de-correlation between anti-Semitism and anti-Israel sentiments amid the 2023 Israel-Hamas War. They gathered under the motto 'Never again is now, Germany stands up'.",0,"crowd size=between 3,000 and 11,000",1704833929,23736,43046,138680,23736
DEU18425,09 December 2023,2023,1,Demonstrations,Protests,Protest with intervention,Protesters (Germany),XR: Extinction Rebellion; Last Generation (Germany); Scientist Rebellion,6,Police Forces of Germany (2021-),,1,16,,276,Europe,Germany,Berlin,Berlin,,Berlin - Friedrichshain-Kreuzberg,52.501,13.4403,1,Berliner Morgenpost; Mitteldeutschen Zeitung,Subnational-National,"On 9 December 2023, at the call of XR, Last Generation, and Scientist Rebellion, between 150 (according to the police) and 400 (according to organizers) people blocked traffic on the Elsenbrucke (Elsen bridge) in Berlin - Friedrichshain-Kreuzberg (Berlin) against the fossil fuel industry and the expansion of the city highway A100. Police officers intervened to remove some activists who had glued themselves to the road.",0,crowd size=between 150 and 400,1704833929,11620,45734,127378,11620
DEU18443,09 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Treptow-Kopenick,52.4175,13.6006,1,Hannoversche Allgemeine,National,"On 9 December 2023, Borussia Monchengladbach football club supporters staged a protest by displaying placards and banners inside Union Berlin football club's Stadium An der Alten Forsterei in Berlin - Treptow-Kopenick (Berlin) against an investor of the German Football League (DFL).",0,crowd size=no report,1707254001,788,7756,101901,788
DEU18205,08 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),JU: Young Union; DIG: German-Israeli Society; Israeli Group (Germany); Students (Germany); CDU: Unitary Democratic Coalition; The Greens (Germany); Government of Germany (2021-),6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Charlottenburg-Wilmersdorf,52.5079,13.2639,1,Berliner Zeitung,National,"On 8 December 2023, at the call of FFI (Fridays for Israel), around 80 people, including members of JU, CDU, an MP (The Greens), DIG, the Jewish community, and students, gathered at the UDK - Universitat der Kunste (University of the Arts) on Hardenbergstrasse in Berlin - Charlottenburg-Wilmersdorf (Berlin) in support of Israel and against anti-Semitism at universities. Protesters chanted 'Free Gaza from Hamas.'",0,crowd size=around 80,1702407962,5204,47722,197160,5204
DEU18196,06 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Grannies Against the Right (Germany); Women (Germany); The Left (Germany); SPD: Social Democratic Party of Germany; DGB: German Trade Union Confederation; Labor Group (Germany); The Greens (Germany),6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Reinickendorf,52.5711,13.3459,1,Berliner Morgenpost,Subnational,"On 6 December 2023, almost 50 people, including members of Grannies Against the Right, the Left, SPD, The Greens, and DGB, demonstrated in front of the Maestral restaurant opposite the Reinickendorf town hall in Berlin - Reinickendorf (Berlin) against the far-right political party AFD, which they denounced as 'a fascist, racist, xenophobic and anti-constitutional party whose aim is to destabilize the basic democratic order and divide society.'",0,crowd size=almost 50,1702407962,5513,33114,207579,5513
DEU18221,06 December 2023,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Police Forces of Germany (2021-); Ver.di: United Services Union; Labor Group (Germany); GEW: German Education Union; Teachers (Germany),6,,,0,60,,276,Europe,Germany,Berlin,Berlin,,Berlin - Charlottenburg-Wilmersdorf,52.5079,13.2639,1,Berliner Morgenpost; Der Tagesspiegel,Subnational,"On 6 December 2023, in the morning, at the call of Ver.di, GEW, and the police union GDP - Gewerkschaft der Polizei, around 13,000 striking employees gathered at Ernst-Reuter Square and marched toward Kurfurstendamm in Berlin - Charlottenburg-Wilmersdorf (Berlin) to protest for better pay. They had gathered while a conference of German labor and social ministers was taking place in the city.",0,"crowd size=around 13,000",1702407962,5204,47722,197160,5204
