	event_date	year	month	day	weekday	disorder_type	event_type	sub_event_type	actor1	assoc_actor_1	inter1	actor2	assoc_actor_2	inter2	interaction	civilian_targeting	location	latitude	longitude	source	source_scale	label	category	class	name	notes11	notes	fatalities	timestamp	population_1km	crowd_size_class	crowd_size	crowd_size_w_n	with_vehicles
142	2023-10-17	2023	10	17	Tue	Demonstrations	Riots	Violent demonstration	Rioters (Germany)		5	Police Forces of Germany (2021-)		1	15		Berlin - Neukolln	52.481	13.4354	Berliner Zeitung	National		War / Peace	International	 Solidarity with Palastine	during the evening, up to 100 people gathered in the Sonnenallee and Pannierstrasse area in Berlin - Neukolln for a spontaneous pro-Palestinian demonstration. Pyrotechnics, fireworks, and firecrackers were set off several times by people who were partly masked. Clashes broke out and demonstrators threw stones, bottles, and firecrackers at police officers who responded with tear gas, batons, and a water cannon. Demonstrators brought several garbage containers onto the road at the corner of Sonnenallee and Reuterstrasse and set them on fire. 20 police officers were injured.	On 17 October 2023, during the evening, up to 100 people gathered in the Sonnenallee and Pannierstrasse area in Berlin - Neukolln for a spontaneous pro-Palestinian demonstration. Pyrotechnics, fireworks, and firecrackers were set off several times by people who were partly masked. Clashes broke out and demonstrators threw stones, bottles, and firecrackers at police officers who responded with tear gas, batons, and a water cannon. Demonstrators brought several garbage containers onto the road at the corner of Sonnenallee and Reuterstrasse and set them on fire. 20 police officers were injured.	0	1698180616	13698	3	100.0	100	
143	2023-10-16	2023	10	16	Mon	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Last Generation (Germany)	6			0	60		Berlin - Mitte	52.5177	13.4024	Berliner Morgenpost	Subnational		Environment	Anthropocene	Last Generation	around 9 members of Last Generation staged a protest on Alexanderplatz in Berlin - Mitte to call for climate protection. They threw paint on the World Time Clock and 2 people climbed on the clock with a banner that read: 'We are running out of time' to implement climate protection measures.	On 16 October 2023, around 9 members of Last Generation staged a protest on Alexanderplatz in Berlin - Mitte to call for climate protection. They threw paint on the World Time Clock and 2 people climbed on the clock with a banner that read: 'We are running out of time' to implement climate protection measures.	0	1698180616	23736	1	9.0	9	
144	2023-10-15	2023	10	15	Sun	Demonstrations	Riots	Violent demonstration	Rioters (Germany)		5	Police Forces of Germany (2021-)		1	15		Berlin - Mitte	52.5177	13.4024	Berliner Zeitung; Merkur; Saarbruecker Zeitung	National		War / Peace	International	 Solidarity with Palastine	around 1,000 people gathered on Potsdamer Platz in Berlin - Mitte for a pro-Palestine demonstration despite its ban. They denounced Israel's attacks on Palestine as genocide. Scuffles broke out when police officers dispersed the demonstration at the end of the event when around 350 people were still on site. Objects were thrown towards police officers who used tear gas. Around 155 people were arrested.	On 15 October 2023, around 1,000 people gathered on Potsdamer Platz in Berlin - Mitte for a pro-Palestine demonstration despite its ban. They denounced Israel's attacks on Palestine as genocide. Scuffles broke out when police officers dispersed the demonstration at the end of the event when around 350 people were still on site. Objects were thrown towards police officers who used tear gas. Around 155 people were arrested.	0	1698180616	23736	6	1000.0	1000	
145	2023-10-15	2023	10	15	Sun	Demonstrations	Riots	Violent demonstration	Rioters (Germany)		5	Police Forces of Germany (2021-)		1	15		Berlin - Neukolln	52.481	13.4354	Kieler Nachrichten; Mitteldeutschen Zeitung	National		War / Peace	International	 Solidarity with Palastine	groups of 10 to 25 people demonstrated in Berlin - Neukolln for a free Palestine. Scuffles broke when police officers intervened to temporarily detain some people. Firecrackers were set off. Three people resisted, and bottles were occasionally thrown.	On 15 October 2023, groups of 10 to 25 people demonstrated in Berlin - Neukolln for a free Palestine. Scuffles broke when police officers intervened to temporarily detain some people. Firecrackers were set off. Three people resisted, and bottles were occasionally thrown.	0	1698180616	13698	1	40.0	40	
146	2023-10-14	2023	10	14	Sat	Demonstrations	Protests	Protest with intervention	Protesters (Germany)		6	Police Forces of Germany (2021-)		1	16		Berlin - Friedrichshain-Kreuzberg	52.501	13.4403	Berliner Zeitung	National		Local	Housing	forced eviction	around 100 people demonstrated on Manteuffelstrasse in Berlin - Friedrichshain-Kreuzberg against the forced eviction of an apartment. Up to 10 people stood in front of the apartment's entrance and police officers pushed violently the protesters. 14 people were arrested.	On 14 October 2023, around 100 people demonstrated on Manteuffelstrasse in Berlin - Friedrichshain-Kreuzberg against the forced eviction of an apartment. Up to 10 people stood in front of the apartment's entrance and police officers pushed violently the protesters. 14 people were arrested.	0	1698180616	11620	3	100.0	100	
147	2023-10-14	2023	10	14	Sat	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Last Generation (Germany)	6			0	60		Berlin - Mitte	52.5177	13.4024	Berliner Zeitung	National		Environment	Anthropocene	Last Generation	Last Generation activists held a protest at Rosenthaler Platz in Berlin - Mitte to call for climate protection.	On 14 October 2023, Last Generation activists held a protest at Rosenthaler Platz in Berlin - Mitte to call for climate protection.	0	1698180616	23736	3	200.0	NaN	
148	2023-10-14	2023	10	14	Sat	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin - Mitte	52.5177	13.4024	Berliner Zeitung; Mitteldeutschen Zeitung	National		War / Peace	International	 Peace in the Middle East - Two-State Solution / Solidarity with Palastine	around 50 people gathered in front of the Brandenburg Gate, on Pariser Platz, in Berlin - Mitte for a pro-Palestine demonstration. They called and chanted for freedom and solidarity for Gaza and Palestine. The event was registered under the title 'Peace in the Middle East - Two-State Solution'.	On 14 October 2023, around 50 people gathered in front of the Brandenburg Gate, on Pariser Platz, in Berlin - Mitte for a pro-Palestine demonstration. They called and chanted for freedom and solidarity for Gaza and Palestine. The event was registered under the title 'Peace in the Middle East - Two-State Solution'.	0	1698180616	23736	2	50.0	50	
149	2023-10-13	2023	10	13	Fri	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	SPD: Social Democratic Party of Germany; Government of Germany (2021-); The Greens (Germany)	6			0	60		Berlin - Friedrichshain-Kreuzberg	52.501	13.4403	Berliner Zeitung	National		War / Peace	International	 Solidarity with Israel	during the evening, several hundred people, including a senator (SPD) and an MP (The Greens), demonstrated in front of the synagogue in Berlin - Friedrichshain-Kreuzberg to condemn the attack of the Hamas in Israel on 7 October 2023. They wanted to show solidarity with Israel and Berlin's Jews.	On 13 October 2023, during the evening, several hundred people, including a senator (SPD) and an MP (The Greens), demonstrated in front of the synagogue in Berlin - Friedrichshain-Kreuzberg to condemn the attack of the Hamas in Israel on 7 October 2023. They wanted to show solidarity with Israel and Berlin's Jews.	0	1697584396	11620	4	400.0	400	
150	2023-10-13	2023	10	13	Fri	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin - Friedrichshain-Kreuzberg	52.501	13.4403	Indymedia (Germany)	Other		Local	Housing	forced eviction	about 80 people protested with speeches and loud chants in front of Manteuffelstrasse 63 in Berlin - Friedrichshain-Kreuzberg (Berlin) against the forced eviction of a person, who had been living in the house for 40 years, and against profit-oriented housing policies.	On 13 October 2023, about 80 people protested with speeches and loud chants in front of Manteuffelstrasse 63 in Berlin - Friedrichshain-Kreuzberg (Berlin) against the forced eviction of a person, who had been living in the house for 40 years, and against profit-oriented housing policies.	0	1698180615	11620	2	80.0	80	
151	2023-10-13	2023	10	13	Fri	Demonstrations	Riots	Violent demonstration	Rioters (Germany)		5	Police Forces of Germany (2021-)		1	15		Berlin - Neukolln	52.481	13.4354	Mitteldeutschen Zeitung	National		War / Peace	International	 Solidarity with Palastine	up to 150 people gathered several times at the intersection of Sonnenallee and Reuterstrasse in Berlin - Neukolln for a pro-Palestine demonstration despite its ban. 24 people were temporarily taken into custody. There were criminal charges for breach of the peace, physical assault, resistance to law enforcement officers, disturbing the public peace, and other offenses.	On 13 October 2023, up to 150 people gathered several times at the intersection of Sonnenallee and Reuterstrasse in Berlin - Neukolln for a pro-Palestine demonstration despite its ban. 24 people were temporarily taken into custody. There were criminal charges for breach of the peace, physical assault, resistance to law enforcement officers, disturbing the public peace, and other offenses.	0	1698180615	13698	3	150.0	150	
