event_id,event_date,year,month_day,weekday,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,admin2,location,latitude,longitude,source,source_scale,label,category,class,notes11,notes,fatalities,timestamp,population_1km,population_2km,population_5km,population_best,crowd_size_class,crowd_size_cat,crowd_size,crowd_size_w_n,with_vehicles,?
DEU17459,2023-10-10 00:00:00,2023,10,,Political violence,Riots,Mob violence,Rioters (Germany),,5,Police Forces of Germany (2021-),,1,15,,Berlin,Berlin - Friedrichshain-Kreuzberg,52.501,13.4403,Berliner Morgenpost,Subnational,,housing,housing/local,"about 40 hooded persons, belonging to the far left-scene, deposited metal nails on the roadway of Rigaer Strasse in Berlin - Friedrichshain-Kreuzberg (Berlin) and set fire to a trash can, tires, garbage, and shopping carts. Police forces were pelted with pyrotechnics and stones on arrival, injuring ten officers and causing respiratory irritation, blast trauma and bruising. Later, a vacant apartment in a formerly occupied house in Liebigstrasse was opened by force and banners with the inscription 'Expropriate' were hung up. Here, too, the police were pelted with pyrotechnics by so far unknown suspects, but were not hit. Further investigations are being conducted by the Police State Protection Service of the State Criminal Police Office.","On 10 October 2023, about 40 hooded persons, belonging to the far left-scene, deposited metal nails on the roadway of Rigaer Strasse in Berlin - Friedrichshain-Kreuzberg (Berlin) and set fire to a trash can, tires, garbage, and shopping carts. Police forces were pelted with pyrotechnics and stones on arrival, injuring ten officers and causing respiratory irritation, blast trauma and bruising. Later, a vacant apartment in a formerly occupied house in Liebigstrasse was opened by force and banners with the inscription 'Expropriate' were hung up. Here, too, the police were pelted with pyrotechnics by so far unknown suspects, but were not hit. Further investigations are being conducted by the Police State Protection Service of the State Criminal Police Office.",0,1697584396,11620,45734,127378,45734,1,,40,40,,
DEU17461,2023-10-09 00:00:00,2023,10,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Last Generation (Germany),6,,,0,60,,Berlin,Berlin - Neukolln,52.481,13.4354,Markische Allgemeine,National,,environment,climate,Last Generation activists protested on Britzer Damm in Berlin - Neukolln (Berlin) by blocking the road for climate reasons.,"On 9 October 2023, Last Generation activists protested on Britzer Damm in Berlin - Neukolln (Berlin) by blocking the road for climate reasons.",0,1697584396,13698,46672,192613,13698,0,,200,,,
DEU17462,2023-10-09 00:00:00,2023,10,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Last Generation (Germany),6,,,0,60,,Berlin,Berlin - Pankow,52.566,13.4031,Markische Allgemeine,National,,environment,climate,Last Generation activists protested on Danziger Strasse in Berlin - Pankow (Berlin) by blocking the road for climate reasons.,"On 9 October 2023, Last Generation activists protested on Danziger Strasse in Berlin - Pankow (Berlin) by blocking the road for climate reasons.",0,1697584396,12788,67068,246971,12788,0,,200,,,
DEU17463,2023-10-09 00:00:00,2023,10,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Last Generation (Germany),6,,,0,60,,Berlin,Berlin - Tempelhof-Schoneberg,52.4406,13.3738,Markische Allgemeine,National,,environment,climate,Last Generation activists protested on Tempelhofer Damm around Paradestrasse in Berlin - Tempelhof-Schoneberg (Berlin) by blocking the road for climate reasons.,"On 9 October 2023, Last Generation activists protested on Tempelhofer Damm around Paradestrasse in Berlin - Tempelhof-Schoneberg (Berlin) by blocking the road for climate reasons.",0,1697584396,6225,56478,257092,6225,0,,200,,,
DEU17468,2023-10-09 00:00:00,2023,10,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Ver.di: United Services Union; Labor Group (Germany),6,,,0,60,,Berlin,Berlin - Mitte,52.5177,13.4024,Tagesschau,National,,economy,verdi/economy,"30,000 mail carriers responded to a call by Ver.di and demonstrated at the Brandenburg Gate in Berlin - Mitte (Berlin) against planned changes to the Postal Act seeing less frequent delivery and more competition. The protesters are concerned about tens of thousands of jobs and the working conditions of delivery staff and are demanded that letters continue to be delivered every day.","On 9 October 2023, 30,000 mail carriers responded to a call by Ver.di and demonstrated at the Brandenburg Gate in Berlin - Mitte (Berlin) against planned changes to the Postal Act seeing less frequent delivery and more competition. The protesters are concerned about tens of thousands of jobs and the working conditions of delivery staff and are demanded that letters continue to be delivered every day.",0,1697584396,23736,43046,138680,23736,9,,"35,000","35,000",,
DEU17472,2023-10-09 00:00:00,2023,10,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,Berlin,Berlin - Mitte,52.5177,13.4024,Presseportal,National,,economy,economy,"members of the 'Initiative Neue Soziale Marktwirtschaft (INSM)' (New Social Market Economy Initiative) protested in Berlin - Mitte (Berlin) in front of the party headquarters of CDU, FDP, Greens and SPD to criticize the focus of the parties and demand a change towards a better economic policy. The New Social Market Economy Initiative is a non-partisan alliance of politicians, business leaders and academics that promotes the principles of the social market economy in Germany and provides impetus for modern free-market policies.","On 9 October 2023, members of the 'Initiative Neue Soziale Marktwirtschaft (INSM)' (New Social Market Economy Initiative) protested in Berlin - Mitte (Berlin) in front of the party headquarters of CDU, FDP, Greens and SPD to criticize the focus of the parties and demand a change towards a better economic policy. The New Social Market Economy Initiative is a non-partisan alliance of politicians, business leaders and academics that promotes the principles of the social market economy in Germany and provides impetus for modern free-market policies.",0,1697584396,23736,43046,138680,23736,0,,200,,,
DEU17482,2023-10-09 00:00:00,2023,10,,Demonstrations,Protests,Peaceful protest,Protesters (Iraq),Yezidi Ethnic Group (Iraq); Refugees/IDPs (Iraq),6,,,0,60,,Berlin,Berlin - Mitte,52.5177,13.4024,Die Tageszeitung,National,,human_rights,deportation/human_rights,Ezids from Iraq started a multi-day protest in front of the Bundestag in Berlin - Mitte (Berlin) against the threat of deportation. Many of them went on hunger strike.,"On 9 October 2023, Ezids from Iraq started a multi-day protest in front of the Bundestag in Berlin - Mitte (Berlin) against the threat of deportation. Many of them went on hunger strike.",0,1698180615,23736,43046,138680,23736,0,,200,,,
DEU17419,2023-10-08 00:00:00,2023,10,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Israeli Group (Germany); CDU: Christian Democratic Union of Germany; SPD: Social Democratic Party of Germany; The Greens (Germany); Jewish Group (Germany); Students (Germany); Christian Group (Germany); Protesters (Israel); Government of Israel (2022-); DIG: German-Israeli Society,6,,,0,60,,Berlin,Berlin - Mitte,52.5177,13.4024,Berliner Zeitung,National,,,war_peace,"around 2,000 people, including representatives of the CDU, SPD, the Greens, the association Christen an der Seite Israels e.V. (Christians on Israel's Side e.V.) as well as Israeli ambassador Ron Prosor, joined a protest in front of Brandenburger Tor in Berlin - Mitte (Berlin) organized by 'Junges Forum der Deutsch-Israelischen Gesellschaft' (Young Forum of the German-Israeli society), Judische Studierendenunion (Jewish Student Union) and the Jewish association 'Werteinitiative' (Value-initiative) in solidarity with Israel. Some of the speakers and demonstrators emphasized Israel's sovereignty and right to self-defense and demanded sanctions against Iran.","On 8 October 2023, around 2,000 people, including representatives of the CDU, SPD, the Greens, the association Christen an der Seite Israels e.V. (Christians on Israel's Side e.V.) as well as Israeli ambassador Ron Prosor, joined a protest in front of Brandenburger Tor in Berlin - Mitte (Berlin) organized by 'Junges Forum der Deutsch-Israelischen Gesellschaft' (Young Forum of the German-Israeli society), Judische Studierendenunion (Jewish Student Union) and the Jewish association 'Werteinitiative' (Value-initiative) in solidarity with Israel. Some of the speakers and demonstrators emphasized Israel's sovereignty and right to self-defense and demanded sanctions against Iran.",0,1700602882,23736,43046,138680,23736,6,,"2,000","2,000",,
DEU17444,2023-10-07 00:00:00,2023,10,,Demonstrations,Riots,Violent demonstration,Rioters (Germany),Samidoun: Palestinian Prisoner Solidarity Network,5,Police Forces of Germany (2021-),,1,15,,Berlin,Berlin - Neukolln,52.481,13.4354,Bayerischer Rundfunk; Der Tagesspiegel; Hamburger Abendblatt,Subnational-National,,,war_peace,"around 40 people, including members of the network Samidoun, participated in a pro-Palestine demonstration on Sonnenallee in Berlin - Neukolln (Berlin). The police prohibited the registration of a gathering later on and broke up the demonstration due to continuous violations against the peacefulness requirements of the assembly law, 'anti-Israel and violence-glorifying chants' and mummery. The demonstrators had chanted 'Yallah Intifada', 'Free Palestine' and 'From the river to the sea', which are usually banned by the police at demonstrations because it questions Israel's right to exist, despite the police asking the event's leader to influence the participants to refrain from anti-Israel slogans. Since the leader did not comply, the police intervened to dissolve the demonstration, took the personal data of the demonstrators, filed 6 charges for resistance, assaulting officers and breach of peace as well as provisionally arrested several people who did not want to leave despite the dispersal of the gathering. Two police officers were injured.","On 7 October 2023, around 40 people, including members of the network Samidoun, participated in a pro-Palestine demonstration on Sonnenallee in Berlin - Neukolln (Berlin). The police prohibited the registration of a gathering later on and broke up the demonstration due to continuous violations against the peacefulness requirements of the assembly law, 'anti-Israel and violence-glorifying chants' and mummery. The demonstrators had chanted 'Yallah Intifada', 'Free Palestine' and 'From the river to the sea', which are usually banned by the police at demonstrations because it questions Israel's right to exist, despite the police asking the event's leader to influence the participants to refrain from anti-Israel slogans. Since the leader did not comply, the police intervened to dissolve the demonstration, took the personal data of the demonstrators, filed 6 charges for resistance, assaulting officers and breach of peace as well as provisionally arrested several people who did not want to leave despite the dispersal of the gathering. Two police officers were injured.",0,1697584396,13698,46672,192613,46672,1,,40,40,,
DEU17348,2023-10-06 00:00:00,2023,10,,Demonstrations,Protests,Protest with intervention,Protesters (Germany),Last Generation (Germany),6,Police Forces of Germany (2021-),,1,16,,Berlin,Berlin - Mitte,52.5177,13.4024,Berliner Morgenpost,Subnational,,environment,climate,"several dozen Last Generation activists protested on Potsdamer Platz in Berlin - Mitte (Berlin) for climate reasons. They blocked parts of the intersection and 9 activists glued themselves onto the road. The police intervened, led, dragged, and carried away the activists and gradually dislodged the glued ones from the street.","On 6 October 2023, several dozen Last Generation activists protested on Potsdamer Platz in Berlin - Mitte (Berlin) for climate reasons. They blocked parts of the intersection and 9 activists glued themselves onto the road. The police intervened, led, dragged, and carried away the activists and gradually dislodged the glued ones from the street.",0,1696947919,23736,43046,138680,23736,1,,48,48,,
DEU17345,2023-10-05 00:00:00,2023,10,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Last Generation (Germany),6,,,0,60,,Berlin,Berlin - Charlottenburg-Wilmersdorf,52.5079,13.2639,Markische Allgemeine; Passauer Neue Presse,National,,environment,climate,Last Generation activists protested on Ku'damm and Bundesallee in Berlin - Charlottenburg-Wilmersdorf (Berlin) for climate concerns and to raise awareness for the connection between the climate and food crises by blocking the road with hay and straw bales. Some of the protesters glued themselves onto the road.,"On 5 October 2023, Last Generation activists protested on Ku'damm and Bundesallee in Berlin - Charlottenburg-Wilmersdorf (Berlin) for climate concerns and to raise awareness for the connection between the climate and food crises by blocking the road with hay and straw bales. Some of the protesters glued themselves onto the road.",0,1696947919,5204,47722,197160,5204,0,,200,,,
DEU17347,2023-10-05 00:00:00,2023,10,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Last Generation (Germany),6,,,0,60,,Berlin,Berlin - Mitte,52.5177,13.4024,Markische Allgemeine; Passauer Neue Presse,National,,environment,climate,around 18 Last Generation activists protested in front of the Brandenburger Gate in Berlin - Mitte (Berlin) for climate concerns and to raise awareness for the connection between the climate and food crises by blocking the road with hay and straw bales. Some of the protesters glued themselves onto the road.,"On 5 October 2023, around 18 Last Generation activists protested in front of the Brandenburger Gate in Berlin - Mitte (Berlin) for climate concerns and to raise awareness for the connection between the climate and food crises by blocking the road with hay and straw bales. Some of the protesters glued themselves onto the road.",0,1696947919,23736,43046,138680,23736,1,,18,18,,
